,variable,value
0,0,19.99999
1,0,18.99999
2,0,20.99999
3,0,13.99999
4,0,39.99999
5,0,23.99999
6,0,22.99999
7,0,30.99999
8,0,27.99999
9,0,6.99999
10,1,23.49999
11,1,28.499989999999997
12,1,17.99999
13,1,51.49999
14,1,35.99999
15,1,25.99999
16,1,17.99999
17,1,22.99999
18,1,28.49999
19,1,15.49999
20,2,19.333323333333336
21,2,35.66665666666666
22,2,19.66665666666667
23,2,53.33332333333333
24,2,30.999989999999997
25,2,21.333323333333336
26,2,23.33332333333333
27,2,28.999989999999997
28,2,22.333323333333336
29,2,17.99999
30,3,20.24999
31,3,33.24999
32,3,21.74999
33,3,46.24999
34,3,29.249989999999997
35,3,20.49999
36,3,23.249989999999997
37,3,32.49999
38,3,21.24999
39,3,22.99999
40,4,30.599990000000002
41,4,34.59999
42,4,22.19999
43,4,47.19999
44,4,29.799989999999998
45,4,24.19999
46,4,22.799989999999998
47,4,32.799989999999994
48,4,24.99999
49,4,24.99999
50,5,32.66665666666667
51,5,31.33332333333333
52,5,22.66665666666667
53,5,42.66665666666666
54,5,27.666656666666665
55,5,25.999989999999997
56,5,22.666656666666665
57,5,29.999989999999997
58,5,24.99999
59,5,25.16665666666667
60,6,29.42856142857143
61,6,28.28570428571428
62,6,20.99999
63,6,38.999990000000004
64,6,27.57141857142857
65,6,27.714275714285712
66,6,22.14284714285714
67,6,28.14284714285714
68,6,22.857132857142858
69,6,24.142847142857143
70,7,27.999989999999997
71,7,27.624989999999997
72,7,21.12499
73,7,43.62499
74,7,25.749989999999997
75,7,26.624989999999997
76,7,22.499989999999997
77,7,27.999989999999997
78,7,22.624989999999997
79,7,23.499989999999997
80,8,32.44443444444445
81,8,26.777767777777775
82,8,21.66665666666667
83,8,43.44443444444445
84,8,24.44443444444444
85,8,24.999989999999997
86,8,21.666656666666665
87,8,27.22221222222222
88,8,25.44443444444444
89,8,23.999989999999997
90,9,37.19999
91,9,27.299989999999998
92,9,21.99999
93,9,40.69999
94,9,24.09999
95,9,23.59999
96,9,23.399989999999995
97,9,30.199989999999996
98,9,23.799989999999998
99,9,23.09999
100,10,34.90908090909091
101,10,25.818171818181817
102,10,23.09089909090909
103,10,37.999990000000004
104,10,23.18180818181818
105,10,22.909080909090907
106,10,24.09089909090909
107,10,28.545444545454544
108,10,23.454535454545454
109,10,23.363626363636364
110,11,32.749990000000004
111,11,24.74999
112,11,21.91665666666667
113,11,38.499990000000004
114,11,22.999989999999997
115,11,21.666656666666665
116,11,22.91665666666667
117,11,26.91665666666667
118,11,22.583323333333336
119,11,24.33332333333333
120,12,34.30768230769232
121,12,24.461528461538464
122,12,21.53845153846154
123,12,44.6922976923077
124,12,23.153836153846154
125,12,21.769220769230767
126,12,23.384605384615387
127,12,25.999990000000004
128,12,21.923066923076927
129,12,24.153836153846154
130,13,33.214275714285726
131,13,25.142847142857143
132,13,22.142847142857146
133,13,42.64284714285715
134,13,23.642847142857143
135,13,20.92856142857143
136,13,22.428561428571435
137,13,24.928561428571435
138,13,24.357132857142858
139,13,24.214275714285716
140,14,31.73332333333334
141,14,24.933323333333338
142,14,21.33332333333334
143,14,43.59999000000001
144,14,24.133323333333337
145,14,20.999990000000004
146,14,22.399990000000006
147,14,24.866656666666675
148,14,23.533323333333335
149,14,26.999990000000004
150,15,31.062489999999997
151,15,24.499989999999997
152,15,21.249989999999997
153,15,43.62499
154,15,23.937489999999997
155,15,20.749989999999997
156,15,23.562489999999997
157,15,24.562489999999997
158,15,22.999989999999997
159,15,26.062489999999997
160,16,29.999989999999997
161,16,25.11763705882353
162,16,22.058813529411765
163,16,41.76469588235294
164,16,24.294107647058823
165,16,20.411754705882352
166,16,23.176460588235294
167,16,26.23528411764706
168,16,23.176460588235294
169,16,25.52940176470588
170,17,31.833323333333333
171,17,25.66665666666667
172,17,21.61110111111111
173,17,40.222212222222225
174,17,23.61110111111111
175,17,20.222212222222222
176,17,22.333323333333333
177,17,25.77776777777778
178,17,22.555545555555554
179,17,24.77776777777778
180,18,31.789463684210528
181,18,25.63156894736842
182,18,20.99999
183,18,41.05262157894737
184,18,23.157884736842107
185,18,20.842095263157898
186,18,22.315779473684213
187,18,25.315779473684213
188,18,22.894726842105264
189,18,25.63156894736842
190,19,31.099990000000002
191,19,25.199990000000003
192,19,20.699990000000003
193,19,42.79999
194,19,23.599990000000002
195,19,20.699990000000003
196,19,21.899990000000003
197,19,24.649990000000003
198,19,22.899990000000003
199,19,25.249990000000004
200,20,30.190466190476194
201,20,24.90475190476191
202,20,20.809513809523814
203,20,41.238085238095245
204,20,22.952370952380956
205,20,20.190466190476194
206,20,21.380942380952384
207,20,24.952370952380956
208,20,22.47618047619048
209,20,24.761894761904767
210,21,31.818171818181824
211,21,25.181808181818187
212,21,20.272717272727277
213,21,41.04544454545455
214,21,23.63635363636364
215,21,20.409080909090914
216,21,21.04544454545455
217,21,24.272717272727277
218,21,22.818171818181824
219,21,24.318171818181824
220,22,31.78259869565218
221,22,25.478250869565223
222,22,20.478250869565223
223,22,41.73912043478261
224,22,24.30433782608696
225,22,21.173903043478266
226,22,21.130424782608703
227,22,24.04346826086957
228,22,23.913033478260875
